DSF,Status,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,Work Prog,Time Prog,Effort Prog,RAG,Reason
DSFFLOW-2138,On Hold,Network Management,Resource Orchestration,52,50,7.0,12-Jun-25,12-Jun-25,18-Jun-25,31-Dec-25,31-Dec-25,,202,202,641.0,641,191.3,15%,15%,30%,Green,[Hold] Progress variance within control limts; 
DSFFLOW-325,Assigned,Core Network,MSS,34,34,,22-Apr-25,22-Apr-25,,31-Dec-26,31-Dec-26,,618,618,512.0,512,40.0,0%,13%,8%,Red,[Assigned] with no work done; efforts burnt; 82 days past due start date; 
DSFFLOW-2916,Assigned,Core Network,MSS,12,12,,15-May-25,15-May-25,,21-Dec-26,21-Dec-26,,585,585,204.0,204,,0%,10%,,Amber,[Assigned] with no work done; 59 days past due start date; 
DSFFLOW-2931,Assigned,Network Management,Activation,46,46,,08-Jun-25,08-Jun-25,,30-Dec-25,30-Dec-25,,205,205,1062.0,1062,,0%,17%,,Amber,[Assigned] with no work done; 35 days past due start date; 
DSFFLOW-2858,Assigned,BOS,Monetization Charging,34,34,,09-May-25,09-May-25,,09-Jul-25,09-Jul-25,,61,61,465.0,465,,0%,106%,,Amber,[Assigned] with no work done; 65 days past due start date; 
DSFFLOW-2947,Assigned,Core Network,MSS,21,21,,18-Mar-25,18-Mar-25,,15-Aug-25,15-Aug-25,,150,150,412.0,412,,0%,78%,,Amber,[Assigned] with no work done; 117 days past due start date; 
DSFFLOW-2843,Assigned,BOS,Common Services-Data Migration,10,10,,16-Jun-25,16-Jun-25,,31-Dec-26,31-Dec-26,,563,563,1.0,1,,0%,4%,,Amber,[Assigned] with no work done; 27 days past due start date; 
DSFFLOW-2689,Assigned,Network Management,Element Management & Reporting,119,119,,23-Jun-25,23-Jun-25,,31-Mar-26,31-Mar-26,,281,281,1645.0,1645,,0%,8%,,Amber,[Assigned] with no work done; 20 days past due start date; 
DSFFLOW-2828,Assigned,Core Network,UDM,15,15,,14-Jul-25,14-Jul-25,,28-Nov-25,28-Nov-25,,137,137,593.0,593,,0%,0%,,Green,[Assigned] with 1 days left to start; 
DSFFLOW-3010,Assigned,Core Network,Cloud,47,47,,04-Jul-25,04-Jul-25,,31-Dec-25,31-Dec-25,,180,180,1803.0,1803,,0%,5%,,Amber,[Assigned] with no work done; 9 days past due start date; 
DSFFLOW-2513,Assigned,Core Network,"EPC,Signaling",46,46,,25-Jul-24,25-Jul-24,,31-Dec-25,31-Dec-25,,524,524,1896.0,1896,,0%,67%,,Amber,[Assigned] with no work done; 353 days past due start date; 
DSFFLOW-2962,Assigned,Core Network,Cloud,101,101,,07-Jul-25,07-Jul-25,,30-Dec-25,30-Dec-25,,176,176,1816.0,1816,0.0,0%,3%,0%,Amber,[Assigned] with no work done; 6 days past due start date; 
DSFFLOW-1679,Assigned,Core Network,Cloud-3PP/MPBN,30,30,,16-May-25,16-May-25,,31-Dec-26,31-Dec-26,,594,594,1089.0,1089,,0%,9%,,Amber,[Assigned] with no work done; 58 days past due start date; 
DSFFLOW-611,Assigned,Core Network,EPC,58,58,,10-Feb-25,10-Feb-25,,31-Dec-25,31-Dec-25,,324,324,2055.0,2055,353.0,0%,47%,18%,Red,[Assigned] with no work done; efforts burnt; 153 days past due start date; 
DSFFLOW-2419,Assigned,Core Network,IMS,52,52,,05-Jun-25,05-Jun-25,,26-Jun-25,26-Jun-25,,21,21,322.0,322,,0%,177%,,Amber,[Assigned] with no work done; 38 days past due start date; 
DSFFLOW-1713,Assigned,Core Network,UDM,18,18,,15-Mar-25,15-Mar-25,,30-Jul-25,30-Jul-25,,137,137,2328.0,2328,272.0,0%,87%,12%,Red,[Assigned] with no work done; efforts burnt; 120 days past due start date; 
DSFFLOW-1809,Assigned,Core Network,"MSS,Signaling",46,46,,03-Mar-25,03-Mar-25,,15-Dec-25,15-Dec-25,,287,287,1202.0,1202,,0%,46%,,Amber,[Assigned] with no work done; 132 days past due start date; 
DSFFLOW-2575,Assigned,Core Network,Cloud,32,32,,23-Jun-25,23-Jun-25,,01-Dec-25,01-Dec-25,,161,161,1262.0,1262,,0%,12%,,Amber,[Assigned] with no work done; 20 days past due start date; 
DSFFLOW-970,Assigned,Core Network,Cloud-3PP/MPBN,27,27,,08-May-25,08-May-25,,29-Jul-25,29-Jul-25,,82,82,661.0,661,8.5,0%,80%,2%,Red,[Assigned] with no work done; efforts burnt; 66 days past due start date; 
DSFFLOW-993,Assigned,Core Network,UDM,40,40,2.0,10-Feb-25,10-Feb-25,10-Feb-25,31-Dec-25,31-Dec-25,31-Dec-25,324,324,1955.0,1955,845.0,5%,100%,44%,Red,[Assigned] with work being done; efforts burnt; 153 days past due start date; 
DSFFLOW-1322,Backlog,Core Network,"EPC,UDM,Exposure",88,88,13.0,22-Apr-25,22-Apr-25,,31-Dec-26,31-Dec-26,,618,618,1663.0,1663,1007.5,15%,13%,61%,Red,[Backlog] with work being done; efforts burnt; 82 days past due start date; 
DSFFLOW-1223,Backlog,Core Network,"EPC,UDM,Signaling",166,166,1.0,09-May-25,09-May-25,,31-Dec-25,31-Dec-25,,236,236,33976.0,33976,1129.0,0%,27%,4%,Red,[Backlog] with no work done; efforts burnt; 65 days past due start date; 
DSFFLOW-1119,Backlog,Network Management,Element Management & Reporting,161,161,,15-May-25,15-May-25,,31-Dec-25,31-Dec-25,,230,230,3270.0,3270,327.0,0%,25%,10%,Red,[Backlog] with no work done; efforts burnt; 59 days past due start date; 
DSFFLOW-937,Backlog,Core Network,IMS,16,16,,06-May-25,06-May-25,,29-Jun-25,29-Jun-25,,54,54,176.0,176,106.0,0%,125%,61%,Red,[Backlog] with no work done; efforts burnt; 68 days past due start date; 
DSFFLOW-845,Backlog,Core Network,MSS,22,22,,24-Feb-25,24-Feb-25,,30-Jun-25,30-Jun-25,,126,126,674.0,674,,0%,111%,,Amber,[Backlog] with no work done; 139 days past due start date; 
DSFFLOW-626,Backlog,Core Network,EPC,34,34,,29-Apr-25,29-Apr-25,29-Apr-25,31-Aug-25,31-Aug-25,15-Sep-25,124,124,2496.0,2496,1084.0,0%,113%,44%,Red,[Backlog] with no work done; efforts burnt; 75 days past due start date; 
DSFFLOW-340,Backlog,Core Network,UDM,17,17,,04-Mar-25,04-Mar-25,,30-Jun-25,30-Jun-25,,118,118,264.0,264,44.0,0%,111%,17%,Red,[Backlog] with no work done; efforts burnt; 131 days past due start date; 
DSFFLOW-356,Backlog,Core Network,UDM,13,13,,18-Dec-24,18-Dec-24,,31-Jul-26,31-Jul-26,,590,590,222.0,222,,0%,35%,,Amber,[Backlog] with no work done; 207 days past due start date; 
DSFFLOW-371,Backlog,Core Network,MSS,28,28,,24-Mar-25,24-Mar-25,,25-Jul-25,25-Jul-25,,123,123,700.0,700,,0%,90%,,Amber,[Backlog] with no work done; 111 days past due start date; 
DSFFLOW-894,Backlog,Core Network,UDM,23,23,,06-May-25,06-May-25,,31-Dec-25,31-Dec-25,,239,239,928.0,928,320.0,0%,29%,35%,Red,[Backlog] with no work done; efforts burnt; 68 days past due start date; 
DSFFLOW-1474,Backlog,Core Network,IMS,54,54,5.0,24-Mar-25,24-Mar-25,,30-Jun-25,02-Feb-26,,98,315,430.0,430,72.0,9%,35%,17%,Red,[Backlog] with work being done; efforts burnt; 111 days past due start date; 
DSFFLOW-879,Descoped,Network Management,Element Management & Reporting,12,12,,09-May-25,09-May-25,,29-Jun-25,29-Jun-25,,51,51,,0,0.2,,,,,
